"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Mintchik N.; Ramamoorti S.; Gramling A.A.","Mintchik, Natalia (23980823000); Ramamoorti, Sridhar (6507389219); Gramling, Audrey A. (6602584452)","23980823000; 6507389219; 6602584452","Mindsets as an Enhancement of 21st Century Accounting Education","2021","Issues in Accounting Education","36","4","","87","118","31","4","10.2308/ISSUES-19-066","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126324131&doi=10.2308%2fISSUES-19-066&partnerID=40&md5=32e8f7043544c02b41dafbf458539e49","University of Cincinnati, Carl H. Lindner College of Business, Department of Accounting, Cincinnati, OH, United States; University of Dayton, School of Business Administration, Department of Accounting, Dayton, OH, United States; Oklahoma State University, Spears School of Business, School of Accounting, Stillwater, OK, United States","Mintchik N., University of Cincinnati, Carl H. Lindner College of Business, Department of Accounting, Cincinnati, OH, United States; Ramamoorti S., University of Dayton, School of Business Administration, Department of Accounting, Dayton, OH, United States; Gramling A.A., Oklahoma State University, Spears School of Business, School of Accounting, Stillwater, OK, United States","To provide optimal learning and career outcomes for accounting graduates, we propose complementing competency-based frameworks of accounting education with the cultivation of relevant mindsets. Building on insights from research in cognitive psychology, organizational leadership, and education, we define a mindset as a combination of cognitive filters and processes through which professionals interpret their professional environments and execute their professional responsibilities. We review the professional and academic literature and identify five key mindsets relevant for accounting graduates. Given the overarching obligation of accountants to protect the public trust, we treat the ‘‘public interest mindset’’ (focus on ‘‘we’’ versus ‘‘I,’’ integrity, and professionalism) as foundational in the accounting profession. The four other key mindsets include (1) growth, (2) professional skepticism, (3) analytical/digital, and (4) global. We provide definitions of these mindsets, discuss their relevance for accounting, and suggest potential pedagogical approaches for their integration into 21st century accounting education. © 2021, American Accounting Association. All rights reserved.","Accounting analytics; Competency-based frameworks; Mindset; Professional skepticism; Public interest","Article","Final","","Scopus","2-s2.0-85126324131"
"Tan L.; Main J.B.; Darolia R.","Tan, Li (57193697578); Main, Joyce B. (54385815900); Darolia, Rajeev (37070307500)","57193697578; 54385815900; 37070307500","Using random forest analysis to identify student demographic and high school-level factors that predict college engineering major choice","2021","Journal of Engineering Education","110","3","","572","593","21","11","10.1002/jee.20393","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107973553&doi=10.1002%2fjee.20393&partnerID=40&md5=752ff46d7b2b5c14b6ef3c88149b540f","School of Engineering Education, Purdue University, West Lafayette, IN, United States; Martin School of Public Policy and Administration, University of Kentucky, Lexington, KY, United States","Tan L., School of Engineering Education, Purdue University, West Lafayette, IN, United States; Main J.B., School of Engineering Education, Purdue University, West Lafayette, IN, United States; Darolia R., Martin School of Public Policy and Administration, University of Kentucky, Lexington, KY, United States","Background: Given the importance of engineers to a nation's economy and potential innovation, it is imperative to encourage more students to consider engineering as a college major. Previous studies have identified a broad range of high school experiences and demographic factors associated with engineering major choice; however, these factors have rarely been ranked or ordered by relative importance. Purpose/Hypothesis: This study leveraged comprehensive, longitudinal data to identify which high school-level factors, including high school characteristics and student high school experiences as well as student demographic characteristics and background, rank as most important in terms of predictive power of engineering major choice. Design/Method: Using data from a nationally representative survey, the High School Longitudinal Study of 2009, and the random forest method, a genre of machine learning, the most important high school-level factors in terms of predictive power of engineering major choice were ranked. Results: Random forest results indicate that student gender is the most important variable predicting engineering major choice, followed by high school math achievement and student beliefs and interests in math and science during high school. Conclusions: Gender differences in engineering major choice suggest wider ranging cultural phenomena that need further investigation and systemic interventions. Research findings also highlight two other areas for potential interventions to promote engineering major choice: high school math achievement and beliefs and interests in math and science. Focusing interventions in these areas may lead to an increase in the number of students pursuing engineering. © 2021 American Society for Engineering Education.","analytics; diversity; engineering major choice; engineering pathways; high school; quantitative","Article","Final","","Scopus","2-s2.0-85107973553"
"Yousef A.M.F.; Sumner T.","Yousef, Ahmed Mohamed Fahmy (55918980800); Sumner, Tamara (7004390248)","55918980800; 7004390248","Reflections on the last decade of MOOC research","2021","Computer Applications in Engineering Education","29","4","","648","665","17","21","10.1002/cae.22334","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091726702&doi=10.1002%2fcae.22334&partnerID=40&md5=c5817b76b82f624834b834571c93aa6b","Education Technology Department, Faculty of Specific Education, Fayoum University, Fayoum, Egypt; Institute of Cognitive Science, University of Colorado Boulder, Boulder, CO, United States","Yousef A.M.F., Education Technology Department, Faculty of Specific Education, Fayoum University, Fayoum, Egypt, Institute of Cognitive Science, University of Colorado Boulder, Boulder, CO, United States; Sumner T., Institute of Cognitive Science, University of Colorado Boulder, Boulder, CO, United States","Massive open online courses (MOOCs) represent important pedagogical transformations that aim at unlimited participation and open access to high-quality educational experiences and resources. MOOCs are quite different from classical distance learning settings in terms of their open-access features, such as open licensing of course content, and their use of specific infrastructures for communications and learning tools. Studies over the past 2 years (2018, 2019) have examined the multitude of experimental business models for MOOCs. However, MOOCs have also experimented with a wide variety of course content, teaching and learning methods, and assessment strategies. Very few articles have systematically examined these significant changes. To address this gap, we conducted an extensive, qualitative meta-analyses of over 200 peer-reviewed articles describing research on MOOCs. This analysis is organized around the following questions: (a) How can we classify existing MOOCs in terms of their support for learners and learning? (b) Which learners are benefiting from MOOCs, and to what degree have MOOCs explored approaches to student-centered learning? (c) To what degree are MOOCs meeting the needs of different learner audiences? (d) How can MOOC providers and participants communicate effectively to support student learning and engagement? (e) How can student activities be monitored to ensure that assessments of learning are performed effectively? The results of these analyses provide a reflection on the last decade of MOOC research and discussing the main achievements and the major research directions pursued in those years and points toward areas in need of additional research and development. © 2020 Wiley Periodicals LLC","learning aِِnalytics; massive open online courses; MOOCs; network learning; open assessment","Article","Final","","Scopus","2-s2.0-85091726702"
"Espinoza P.; Genna G.M.","Espinoza, Penelope (7003859386); Genna, Gaspare M. (9846426900)","7003859386; 9846426900","Hi, I Want to Talk to You About Your Progress: A Large Course Intervention for At-Risk College Students","2021","Journal of College Student Retention: Research, Theory and Practice","23","1","","2","27","25","9","10.1177/1521025118790054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052242802&doi=10.1177%2f1521025118790054&partnerID=40&md5=d42083dcb7bf45478a70e8d0900aafa7","The University of Texas at El Paso, TX, United States","Espinoza P., The University of Texas at El Paso, TX, United States; Genna G.M., The University of Texas at El Paso, TX, United States","Performance during the first year of college and in introductory courses has been widely identified as critical to college students’ retention and success. Accordingly, interventions to assist beginning college students in gateway courses have gained increased attention in higher education. This study tested such an intervention using learning analytics and early performance feedback in large introductory courses, with comparison between course sections not exposed to the intervention. Distinct from other research, the present study replicated the efficacy of the intervention across 2 years, in multiple course subjects, and with different instructors at a 4-year Hispanic-serving institution. Importantly, findings also showed that high-risk college students especially benefitted from the intervention in terms of both achievement and persistence. Based on these findings, recommendations are made to higher education administrators about the potential gains to students when they are provided with early, consistent, and individualized feedback in all courses, made feasible by current technology. © The Author(s) 2018.","at-risk college students; college persistence; college student achievement; college student success; intervention study","Article","Final","","Scopus","2-s2.0-85052242802"
"Anand T.; Mitchell D.","Anand, Tej (57798451700); Mitchell, Daniel (57798683100)","57798451700; 57798683100","Objectives and curriculum for a graduate business analytics capstone: Reflections from practice","2022","Decision Sciences Journal of Innovative Education","20","4","","235","245","10","1","10.1111/dsji.12272","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134006063&doi=10.1111%2fdsji.12272&partnerID=40&md5=0af65c1076a46141c523a74de6720ce7","Robert H. Smith School of Business, The University of Texas at Austin, Austin, TX, United States; McCombs School of Business, Center for Analytics and Transformative Technologies, The University of Texas at Austin, Austin, TX, United States","Anand T., Robert H. Smith School of Business, The University of Texas at Austin, Austin, TX, United States; Mitchell D., McCombs School of Business, Center for Analytics and Transformative Technologies, The University of Texas at Austin, Austin, TX, United States","Many higher education institutions have responded to the significant shortage of professionals with strong analytical expertise by offering graduate programs in business analytics and data science. These programs are typically designed to be practitioner focused and many of them offer a Capstone course that gives students the opportunity to conduct a real-world analytics project. In this article, we describe the innovative design of a Capstone course offered to cohorts of approximately 110 graduate students in the business school at the University of Texas, Austin. This course is designed to deliver self-directed and experiential learning from interacting with business stakeholders and successfully completing team-based, business analytics projects within a commercial firm using the firm's data. The course design includes student and sponsor engagement, the formation of diverse balanced project teams, matching of teams with projects, and scaffolding, which includes consistent structured mentoring, team reflections, interim deliverables and in-class learning for practical skills not covered elsewhere in the curriculum. This course has now been offered successfully to two cohorts. In this article, we will also describe changes made for the second cohort related to team formation, project matching, mentoring and in-class learning. These changes were based on feedback from the first cohort. © 2022 Decision Sciences Institute.","artificial intelligence/machine learning; business analytics; capstone; course design","Article","Final","","Scopus","2-s2.0-85134006063"
"Alier M.; Casañ Guerrero M.J.; Amo D.; Severance C.; Fonseca D.","Alier, Marc (23092730900); Casañ Guerrero, Maria Jose (57231716300); Amo, Daniel (56013924500); Severance, Charles (6601968042); Fonseca, David (35224644800)","23092730900; 57231716300; 56013924500; 6601968042; 35224644800","Privacy and e-learning: A pending task","2021","Sustainability (Switzerland)","13","16","9206","","","","3","10.3390/su13169206","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113485256&doi=10.3390%2fsu13169206&partnerID=40&md5=dd0509992f7453705b9bef4d23198082","UPC, BCNseer Research Group, Universitat Politecnica de Catalunya, Barcelona, 08034, Spain; GRETEL Research Group, Universitat La Salle, Barcelona, 08022, Spain; School of Information, University of Michigan, Ann Arbor, 48109, MI, United States","Alier M., UPC, BCNseer Research Group, Universitat Politecnica de Catalunya, Barcelona, 08034, Spain; Casañ Guerrero M.J., UPC, BCNseer Research Group, Universitat Politecnica de Catalunya, Barcelona, 08034, Spain; Amo D., GRETEL Research Group, Universitat La Salle, Barcelona, 08022, Spain; Severance C., School of Information, University of Michigan, Ann Arbor, 48109, MI, United States; Fonseca D., GRETEL Research Group, Universitat La Salle, Barcelona, 08022, Spain","Most educational software programs use and gather personal information and metadata from students. Additionally, most of the educational software programs are no longer operated by the learning institutions but are run by third-party agencies. This means that in the decade since 2020, information about students is stored and handled outside premises and control of learning institutions. The personal information about students and their activity while they interact with learning management systems and online learning tools is increasingly in custody of cloud computing platforms, software-as-a-service providers, and learning tool vendors. There is an increasing will to use all the data and metadata from the activity of the students for research, to develop education management strategies, pedagogy approaches, and develop behavior control tools or learning tools informed by behavior analysis from learning analytics. Many times, these studies lack the ethical and moral perspective. In addition, there is an increasing number of cases in which this information has leaked or has been used in a shady way. Additionally, this information will be around for a long time, tied to the future digital profiles of the students whose data has been leaked. This paper hypothesizes that there has been an ongoing process of technological evolution that leads to a loss of control over personal information, which makes it even more difficult to protect user confidentiality and ensuring privacy, that data surveillance has entered the world of education, and that the current legal frameworks are not enough to really protect the student’s personal information. The paper analyzes how this situation came to pass, and why this is wrong. We conclude with some proposals to address it from its different root dimensions: Technical, cultural, legal, and organizational. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Ethical issues; Learning analytics; LMS; Student’s privacy; Technologies in education","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85113485256"
"Knestis K.; Cheng J.; Fontaine C.M.; Feng R.","Knestis, Kirk (54912114700); Cheng, Joselina (57302824600); Fontaine, Claire M. (57462378200); Feng, Rebekah (57266295500)","54912114700; 57302824600; 57462378200; 57266295500","Engaging Government-Industry-University Partnerships to Further Gender Equity in STEM Workforce Education Through Technology and Information System Learning Tools","2022","Journal of Information Systems Education","33","1","","23","31","8","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125072588&partnerID=40&md5=a1e584da2b5765ca8243977b54f9457e","Inciter, Washington, 20002, DC, United States; Department of Information Systems & Operations Management, University of Central Oklahoma, Edmond, 73034, OK, United States; Becks Intelligence Group, Edmond, 73034, OK, United States","Knestis K., Inciter, Washington, 20002, DC, United States; Cheng J., Department of Information Systems & Operations Management, University of Central Oklahoma, Edmond, 73034, OK, United States; Fontaine C.M., Inciter, Washington, 20002, DC, United States; Feng R., Becks Intelligence Group, Edmond, 73034, OK, United States","This paper has two goals: First, to detail processes through which a project funded under a National Science Foundation workforce development program (Innovative Technology Experiences for Students and Teachers, ITEST) leveraged active partnerships among government agencies, industry firms, and universities to develop and study an innovative, out-of-school information system and technology workforce education program. The aim of the program was to improve equity of opportunity for high school girls. The program engaged young women from underrepresented subgroups in data science, analytics, information communication technology, and programming learning activities in an experiential, law enforcement computer forensics context. This description of the research team’s process is intended as inspiration and guidance to others considering developing similar programs targeting workforce development in science and technical fields through an equity lens. Second, this paper shares reflections from senior project personnel on lessons learned while working with cross-sector collaborations, including challenges encountered while implementing components of the program facilitated by the partnership model. The authors adopt a reflective practice orientation, considering implications regarding the most useful—and evolving—roles that cross-sector partnerships might play in developing programs to help students traditionally underrepresented in technical fields be more aware of, interested in, and prepared for careers in science, technology, engineering, and mathematics (STEM) disciplines. In so doing, the authors offer insights about how university partners might address potential tensions involved in such collaborations © 2022. Journal of Information Systems Education.All Rights Reserved.","Analytics; Gender equity; Industry partnerships; Reflective practice; Stem; Workforce development","Article","Final","","Scopus","2-s2.0-85125072588"
"Han S.; Liu M.; Pan Z.; Cai Y.; Shao P.","Han, Songhee (57220155513); Liu, Min (26643381300); Pan, Zilong (57209994346); Cai, Ying (57711811400); Shao, Peixia (57879509900)","57220155513; 26643381300; 57209994346; 57711811400; 57879509900","Making FAQ Chatbots More Inclusive: An Examination of Non-Native English Users’ Interactions with New Technology in Massive Open Online Courses","2022","International Journal of Artificial Intelligence in Education","","","","","","","0","10.1007/s40593-022-00311-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137501633&doi=10.1007%2fs40593-022-00311-4&partnerID=40&md5=b21343711dbe50dc1c39e4569d32c904","Curriculum and Instruction, The University of Texas at Austin, Austin, TX, United States","Han S., Curriculum and Instruction, The University of Texas at Austin, Austin, TX, United States; Liu M., Curriculum and Instruction, The University of Texas at Austin, Austin, TX, United States; Pan Z., Curriculum and Instruction, The University of Texas at Austin, Austin, TX, United States; Cai Y., Curriculum and Instruction, The University of Texas at Austin, Austin, TX, United States; Shao P., Curriculum and Instruction, The University of Texas at Austin, Austin, TX, United States","In this study, we examined interaction behaviors between a small number of participants in two massive open online courses (MOOCs) and an FAQ chatbot, focusing on the participants’ native language markers. We used a binary native language marker (non-native English user vs. native English user) to distinguish between two groups in this multiple case study, which is based on the knowledge gained from a previous study reporting students’ significantly different experiences based on the two language markers (Han & Lee, Computer & Education, 179, Article 104395, 2022). We utilized a multimodal computer-mediated communication approach as a research guiding tool for examining the data—chatbot logs and the students’ self-reported open-ended responses. We analyzed 42 students’ (non-native English users: n = 27 and native English users: n = 15) precise language uses and constructional practices during student–chatbot interactions to investigate the similarities and differences between the two cases. Most importantly, we focused on the experiences of non-native English users with newly adopted technology, such as chatbots, highlighting a lack of attention to the challenges this group faces despite comprising the majority of MOOC students. By comparing the interactions between the two groups, we identified various student attitudes towards the chatbot with accompanying descriptions, hypothesizing that non-native English users’ positioning effects might have contributed to their negative experiences with the chatbot. We also found that misinterpreted contextualized cues could influence non-native English users more adversely than native English users from an interactional sociolinguistics perspective. Thus, we provide chatbot response design strategies that could support non-native English users better, such as informing users of the chatbot’s capabilities and limitations as early as possible during interactions. We argue that concentrating on the experiences of non-native English users with chatbots promotes a more inclusive learning environment regarding new technologies employed in MOOCs. © 2022, International Artificial Intelligence in Education Society.","Chatbot; Learning analytics; Massive open online courses; Non-native English user; Positioning","Article","Article in press","","Scopus","2-s2.0-85137501633"
"Murray A.K.; Miller M.; Postlewaite E.L.; Clark K.","Murray, Angela K. (56937680900); Miller, Michael (57204056947); Postlewaite, Elyse L. (57218882431); Clark, Kiara (57967942800)","56937680900; 57204056947; 57218882431; 57967942800","Implementing the Montessori approach in an undergraduate marketing course: A case study","2022","Frontiers in Education","7","","1033752","","","","0","10.3389/feduc.2022.1033752","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142114988&doi=10.3389%2ffeduc.2022.1033752&partnerID=40&md5=40b9d059dd7ca3a9bac5236403dba631","Achievement & Assessment Institute, University of Kansas, Lawrence, KS, United States; College of Education and Professional Studies, University of Wisconsin River Falls, River Falls, WI, United States; Claremont Graduate University, Claremont, CA, United States","Murray A.K., Achievement & Assessment Institute, University of Kansas, Lawrence, KS, United States; Miller M., College of Education and Professional Studies, University of Wisconsin River Falls, River Falls, WI, United States; Postlewaite E.L., Claremont Graduate University, Claremont, CA, United States; Clark K., Achievement & Assessment Institute, University of Kansas, Lawrence, KS, United States","The objective of this case study is to offer a new perspective on innovation in higher education pedagogy by exploring how Montessori principles can be applied in an elective upper-level undergraduate marketing analytics course. Innovation in higher education is crucial for preparing students for the ever-changing challenges they will face in the workplace and in society. Montessori education offers a unique perspective for addressing many of the shortcomings identified in current approaches to undergraduate instruction. This study involved designing a course that incorporated well-established principles of Montessori education—which has demonstrated success in fostering deep learning, engagement, intrinsic motivation, and adaptability particularly among adolescents. The methodology leverages the naturalistic approach to gathering real world evidence using an inductive design based on data from instructor field notes, weekly student response submissions, and an end-of-semester student survey. In conclusion, results of the study suggest Montessori education, particularly experiential learning elements and direct connections to industry, should continue to be explored for its potential to inspire innovation in higher education. However, successfully changing the instructional paradigm requires efforts beyond a single course. Truly shaping undergraduate education for the 21st century involves broad and integrated change across departments and even universities to empower students to take control of their own learning, to be inspired and motivated by their own intrinsic values, and to expand their thinking beyond narrow expectations of textbook learning. Copyright © 2022 Murray, Miller, Postlewaite and Clark.","case study; higher education pedagogy; marketing education; Montessori; pedagogical innovation; undergraduate education","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85142114988"
"Huang J.; Kwok T.-H.","Huang, Jida (36548021000); Kwok, Tsz-Ho (35275556900)","36548021000; 35275556900","Segmentation-Based Wireframe Generation for Parametric Modeling of Human Body Shapes","2021","Journal of Computing and Information Science in Engineering","21","6","061007","","","","0","10.1115/1.4050758","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127052352&doi=10.1115%2f1.4050758&partnerID=40&md5=443f3b53cdbfd8a878fd8e1cc3b8d554","Mechanical and Industrial Engineering, University of Illinois at Chicago, Chicago, 60607, IL, United States; Mechanical, Industrial and Aerospace Engineering, Concordia University, Montreal, H3G 1M8, QC, Canada","Huang J., Mechanical and Industrial Engineering, University of Illinois at Chicago, Chicago, 60607, IL, United States; Kwok T.-H., Mechanical, Industrial and Aerospace Engineering, Concordia University, Montreal, H3G 1M8, QC, Canada","Wireframes have been proved useful as an intermediate layer of the neural network to learn the relationship between the human body and semantic parameters. However, the definition of the wireframe needs to have anthropological meaning and is highly dependent on experts’ experience. Hence, it is usually not easy to obtain a well-defined wireframe for a new set of shapes in available databases. An automated wireframe generation method would help relieve the need for the manual anthropometric definition to overcome such difficulty. One way to find such an automated wireframe generation method is to apply segmentation to divide the models into small mesh patches. Nevertheless, different segmentation approaches could have various segmented patches, thus resulting in diversified wireframes. How do these different sets of wireframes affect learning performance? In this paper, we attempt to answer this research question by defining several critical quantitative estimators to evaluate different wireframes’ learning performance. To find how such estimators influence wireframe-assisted learning accuracy, we conduct experiments by comparing different segmentation methods on human body shapes. We summarized several meaningful design guidelines for developing an automatic wireframe-aware segmentation method for human body learning with such verification. Copyright © 2021 by ASME.","Big data and analytics; Computational synthesis; Computer aided design; Data-driven engineering; Engineering informatics; Machine learning for engineering applications; Qualification; Validation of computational models; Verification","Article","Final","","Scopus","2-s2.0-85127052352"
